FromLevel	FromCode	FromName_da	FromName_en	FromProperty_PropertyName	ToLevel	ToCode	ToName_da	ToName_en	ToProperty_PropertyName
2	6.64.4	Sikringsanlæg	Security and fire detection systems						
2	6.64.5	Proceskontrolanlæg	Process control systems						
1	6.66	Transportanlæg	Transport systems						
2	6.66.1	Elevatorer	Lifts						
2	6.66.2	Rullende trapper	Escalators						
2	6.66.3	Transportbånd	Conveyor belts						
1	6.67	Mekaniske anlæg, øvrige	Other mechanical services						
2	6.67.1	Mekaniske anlæg, øvrige	Other mechanical services						
1	6.68	El-anlæg, øvrige	Other electrical services						
2	6.68.1	El-anlæg, øvrige	Other electrical services						
0	7	Inventar og udstyr	Fittings						
1	7.70	Inventar, terræn	Site fittings						
2	7.70.1	Tekniske inventarenheder, p-automater m.m.	Technical equipment, parking meters, etc. 						
2	7.70.2	Tavler, skilte og skærme	Panels, signs and displays						
2	7.70.3	Opbevaring, affaldsstativer, cykelstativer, postkasser m.m.							
2	7.70.4	Bordmøbler	Furniture for eating or working						
2	7.70.5	Siddemøbler	Furniture for sitting						
1	7.71	Teknisk inventar	Technical fittings						
2	7.71.1	Automater for mad, drikke, sæbe m.m.							
2	7.71.2	Løse lamper	Movable lamps						
2	7.71.3	Brandslukningsudstyr	Fire fighting equipment						
1	7.72	Tavler, skilte og skærme	Panels, signs and displays						
2	7.72.1	Skilte	Signs						
2	7.72.2	Spejle	Mirrors						
2	7.72.3	AV-udrustning, tavler, projektorskærme	AV-equipment, boards, projectors, projector screens						
1	7.73	Opbevaringsmøbler	Storage furniture						
2	7.73.1	Hylder	Shelves						
2	7.73.2	Skabe og skuffemøbler	Cupboards and drawers						
2	7.73.3	Køkkenskabe	Kitchen cupboards						
2	7.73.4	Toiletskabe	Vanity cupboards						
1	7.74	Bordmøbler	Furniture for eating or working						
2	7.74.1	Bordplader	Table tops, counter tops						
2	7.74.2	Arbejdsborde	Desktops, workbenches						
2	7.74.3	Borde til ophold og hvile	Tables for rest and relaxation						
1	7.75	Siddemøbler	Furniture for sitting						
2	7.75.1	Stole, bænke m.m . til arbejdsbrug	Chairs, benches, etc. for work						
2	7.75.2	Stole, bænke, sofaer m.m. til ophold og hvile	Chairs, benches, couches, etc., for rest and relaxation						
1	7.76	Liggemøbler	Furniture for sleeping						
2	7.76.1	Sengemøbler til alm. boliger	Bed furniture for regular residential						
2	7.76.2	Sengemøbler til institutioner m.m.	Bed furniture for institutions, etc.						
1	7.77	Boligtekstiler og afskærmning	Textiles and shading						
2	7.77.1	Gardiner og forhæng	Curtains						
2	7.77.2	Gulvtæpper og måtter	Carpets and mats						
2	7.77.3	Persienner	Blinds						
2	7.77.4	Skærmvægge	Screens, partition walls						
1	7.78	Øvrigt inventar	Other fittings						
2	7.78.1	Øvrigt inventar	Other fittings						
2	7.78.2	Specialinventar	Special equipment						
