FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
3;525;Vand- og afløb, tilslutninger til teknisk udstyr;;;;;;;
3;526;Vand- og afløb, tilslutninger til lab. udstyr;;;;;;;
3;527;Regnvand, tilslutninger;;;;;;;
3;528;Afløbs-, Sanitets- og Regnvandsgenstande;;;;;;;
3;529;Øvrigt, Afløb og sanitet, tilslutninger;;;;;;;
2;53;Vand (koldt/varmt vand, behandlet vand);;;;;;;
3;531;Mekanisk udstyr;;;;;;;
3;532;Vandtilslutninger;;;;;;;
3;533;Vandbehandlingsanlæg;;;;;;;
3;534;Brandslukning, tilslutninger;;;;;;;
3;535;Målere, Vand;;;;;;;
3;536;Armaturer-, Vandgenstande;;;;;;;
3;539;Øvrigt, Vand;;;;;;;
2;54;Luftarter (gas, trykluft, vakuum, damp);;;;;;;
3;541;Mekanisk udstyr;;;;;;;
3;542;Luftartsudtag;;;;;;;
3;543;Luftartsproducerende anlæg;;;;;;;
3;545;Tilbehør;;;;;;;
3;546;Målere, Luftarter;;;;;;;
3;549;Øvrigt, Luftarter;;;;;;;
2;55;Køling;;;;;;;
3;551;Mekanisk udstyr;;;;;;;
3;552;Kølegivere;;;;;;;
3;553;Køleproducerende anlæg;;;;;;;
3;554;Målere, Køling;;;;;;;
3;559;Øvrigt, Køling;;;;;;;
2;56;Varme;;;;;;;
3;561;Mekanisk udstyr;;;;;;;
3;562;Varmegivere;;;;;;;
3;563;Varmeproducerende anlæg;;;;;;;
3;564;Målere, Varme;;;;;;;
3;569;Øvrigt, Varme;;;;;;;
2;57;Ventilation;;;;;;;
3;571;Kanaler;;;;;;;
3;572;Anlæg, køle- og varmeflader, vekslere;;;;;;;
3;573;Kanal tilbehør;;;;;;;
3;574;Ventilatorer;;;;;;;
3;575;Ventilationsarmaturer;;;;;;;
3;576;Tilslutninger til udstyr;;;;;;;
3;577;Taghætter/gennemføringer;;;;;;;
3;578;Kanalisolering;;;;;;;
3;579;Øvrigt, Ventilation;;;;;;;
2;58;Sprinkling;;;;;;;
3;581;Mekanisk udstyr;;;;;;;
3;582;Sprinklerdyser;;;;;;;
3;583;Brandskabe;;;;;;;
3;589;Øvrigt, Sprinkling;;;;;;;
2;59;Tværgående komponenter, VVS;;;;;;;
3;591;Metalrør i bygninger;;;;;;;
3;592;Fleksible rør i bygninger;;;;;;;
3;593;Hårde plastrør i bygninger;;;;;;;
3;594;Statiske Ventiler;;;;;;;
3;595;Dynamiske Ventiler;;;;;;;
3;596;Moterdrevne rørtilbehør;;;;;;;
3;597;Målere, filtre og øvrige;;;;;;;
3;598;Rørisolering;;;;;;;
3;599;Bæringer, udsparinger og øvrige;;;;;;;
1;6;El- og mekaniske anlæg;;;;6.;El- og mekaniske anlæg;;
2;60;El- og mekaniske anlæg, Terræn;;;;;;;
3;601;Ledninger;;;;;;;
3;602;Belysning;;;;;;;
3;603;Installation for anlæg under terræn;;;;;;;
3;604;Installation for anlæg på terræn;;;;;;;
3;605;Trafikstyring;;;;;;;
3;606;Føringsveje under terræn;;;;;;;
3;609;Øvrigt, El- og mekaniske anlæg, terræn;;;;;;;
2;61;Føringsveje;;;;;;;
3;611;Bakker/stiger;;;;;;;
3;612;Kanaler;;;;;;;
3;613;Kabelrør;;;;;;;
3;614;Fiberbakker;;;;;;;
3;615;Bæringer, udsparinger og øvrige;;;;;;;
3;616;Dåser og indstøbninger;;;;;;;
3;619;Øvrigt, Føringsveje;;;;;;;
2;62;Højspænding;;;;;;;
3;621;Forsyning;;;;;;;
3;622;Fordeling;;;;;;;
3;623;Installationer for apparater og maskiner;;;;;;;
3;629;Øvrigt, Højspænding;;;;;;;
2;63;Lavspænding;;;;;;;
3;631;Forsyninger - ekstern;;;;;;;
3;632;Fordeling;;;;;;;
3;633;Installationer for apparater og maskiner;;;;;;;
3;634;Termiske anlæg;;;;;;;
3;635;Installationer for belysning;;;;;;;
3;636;Belysningsarmaturer;;;;;;;
3;637;Kraftinstallationer;;;;;;;
3;638;Vedvarende energi - Intern forsyning;;;;;;;
3;639;Øvrigt, Lavspænding;;;;;;;
2;64;Kommunikation og information;;;;;;;
3;641;Kommunikation;;;;;;;
3;642;Information;;;;;;;
3;643;Audio, video og antenner;;;;;;;
3;644;IT-infrastrukturer;;;;;;;
3;649;Øvrigt, Kommunikation og information;;;;;;;
2;65;Sikring;;;;;;;
3;651;Adgangssikringer;;;;;;;
3;652;Sikringsanlæg;;;;;;;
3;653;Personsikringer;;;;;;;
3;659;Øvrigt, Sikring;;;;;;;
2;66;Bygningsautomation;;;;;;;
3;661;Managementsystemer;;;;;;;
3;662;Central tilstandsstyring;;;;;;;
3;663;Descentral tilstandsstyring;;;;;;;
3;664;Automatikkomponenter;;;;;;;
3;669;Øvrigt, Bygningsautomation;;;;;;;
2;67;Beskyttelse;;;;;;;
3;671;Overspændingsbeskyttelse;;;;;;;
3;672;Udligningsforbindelser;;;;;;;
3;679;Øvrigt, Beskyttelse;;;;;;;
2;68;Person-, materiale- og servicetransport;;;;;;;
3;681;Persontransport;;;;;;;
3;682;Gods- og materialetransport;;;;;;;
3;683;Servicetransport;;;;;;;
3;689;Øvrigt, Person-, materiale- og servicetransport;;;;;;;
2;69;El- og mekaniske anlæg, øvrige;;;;;;;
1;7;Inventar og teknisk udstyr;;;;7.;Inventar;;
2;70;Inventar, terræn;;;;;;;
3;701;Tekniske inventarenheder;;;;;;;
3;702;Tavler, skilte og skærme;;;;;;;
3;703;Opbevaring;;;;;;;
3;704;Bordmøbler;;;;;;;
3;705;Siddemøbler;;;;;;;
3;706;Afskærmninger;;;;;;;
3;707;Aktivites- og legeudstyr;;;;;;;
3;709;Øvrigt, Inventar i terræn;;;;;;;
2;71;Inventar, fastmonteret;;;;;;;
3;711;Opbevaringsmøbler, fastmonterede;;;;;;;
3;712;FRI;;;;;;;
3;713;Siddemøbler, liggemøbler;;;;;;;
3;714;Gardiner, persienner, skærmvægge, forhæng;;;;;;;
3;715;Borde, bordplader;;;;;;;
3;716;Skilte, tavler;;;;;;;
3;717;Garniture;;;;;;;
3;719;Øvrigt, Fastmonteret inventar;;;;;;;
2;72;Inventar, løst;;;;;;;
3;721;Opbevaringsmøbler, løse;;;;;;;
3;722;FRI;;;;;;;
3;723;Siddemøbler, liggemøbler;;;;;;;
3;724;Skærmvægge, forhæng;;;;;;;
3;725;Borde;;;;;;;
3;726;Stativer;;;;;;;
3;727;Måtter, tæpper, løbere;;;;;;;
3;729;Øvrigt, Løst inventar;;;;;;;
2;73;Inventar, tekniske-, IT- og av-inventarenheder;;;;;;;
3;731;AV-udstyr;;;;;;;
3;732;IT-udstyr;;;;;;;
3;733;Belysning;;;;;;;
3;734;Automater;;;;;;;
3;735;Brandslukningsudstyr;;;;;;;
3;736;Hårde hvidevarer;;;;;;;
3;739;Øvrigt, Tekniske-, IT- og av-inventarenheder;;;;;;;
2;79;Inventar, øvrige;;;;;;;
1;8;Beplantning;;;;;;;
2;80;Beplantning;;;;;;;
3;801;Træer;;;;;;;
3;802;Buske og hække;;;;;;;
3;803;Muldlag;;;;;;;
3;804;Bunddække og stauder;;;;;;;
3;805;Græsarealer;;;;;;;
3;806;Ekstensive beplantningssystemer;;;;;;;
3;807;Intensive opbygninger på tage;;;;;;;
3;809;Øvrigt, Beplantning;;;;;;;
2;81;FRI;;;;;;;
2;89;Beplantning, øvrige;;;;;;;
1;9;Projektudstyr;;;;;;;
2;91;Projektudstyr ARK;;;;;;;
3;911;FRI;;;;;;;
2;92;Projektudstyr KON;;;;;;;
3;921;FRI;;;;;;;
2;93;Projektudstyr VENT;;;;;;;
3;931;FRI;;;;;;;
2;94;Projektudstyr VVS;;;;;;;
3;941;FRI;;;;;;;
2;95;Projektudstyr EL;;;;;;;
3;951;FRI;;;;;;;
2;96;Projektudstyr LAND;;;;;;;
3;961;FRI;;;;;;;
2;97;Projektudstyr ENTREPRENØR/LEVERANDØR;;;;;;;
3;971;FRI;;;;;;;
2;99;Projektudstyr, øvrige;;;;;;;
3;991;FRI;;;;;;;
