FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
0;6.6;EL- OG MEKANISKE ANLÆG;Services (mainly electrical);;;;;;
1;6.60;El- og mekaniske anlæg, terræn;Site services, electrical and mechanical;;;tt.elf.sam;Elforsyningsanlæg (samlet);;
2;6.60.1;Stikledninger uden for bygningen;;;;tt.elf.sti;Elforsyning, stikledning;;
2;6.60.2;Vej- og pladsbelysningsanlæg;Road and outdoor lighting;;;tt.bly.sam;Vej- og pladsbelysningsanlæg;Road and outdoor lighting;
2;6.60.3;Transformerstation, inkl. tavleanlæg;;;;tt.elf.tra;Transformerstation;;
1;6.62;Højspænding;;;;;;;
2;6.62.1;Forsyning;Electrical supply systems;;;bt.elf.sam;Elforsyningsanlæg;;
2;6.62.2;Hovedfordeling;Primary distribution systems;;;bt.elf.sam;Elforsyningsanlæg;;
2;6.62.3;Install. for maskiner og maskinanlæg;;;;bt.elf.sam;Elforsyningsanlæg;;
2;6.62.4;El-tekniske anlæg;Electrical installations;;;bt.var.sam;Varmeanlæg (samlet);;
2;6.62.5;Øvrige højspændingsanlæg;;;;bt.elf.sam;Elforsyningsanlæg (samlet);;
1;6.63;Lavspænding;;;;bt.elf.sam;Elforsyningsanlæg (samlet);;
2;6.63.1;Forsyning;Electrical supply systems;;;bt.elf.sam;Elforsyningsanlæg (samlet);;
2;6.63.2;Hovedfordeling;Primary distribution systems;;;bt.elf.sam;Elforsyningsanlæg (samlet);;
2;6.63.3;Install. for maskiner og maskinanlæg;;;;bt.elf.sam;Elforsyningsanlæg (samlet);;
2;6.63.4;El-tekniske anlæg;Electrical installations;;;bt.var.sam;Varmeanlæg (samlet);;
2;6.63.5;Belysningsanlæg;Lighting systems;;;bt.bly.sam;Belysningsanlæg (samlet);;
2;6.63.6;El-varme;Electric heating systems;;;bi.elr;El-radiatorer og apparater;;
2;6.63.7;El-apparater;Electrical appliances;;;bi.elr;El-radiatorer og apparater;;
1;6.64;Elektronik og svagstrøm;Information and communication technology;;;;;;
2;6.64.1;Kommunikationsanlæg;Communication systems;;;bt.kom,sam;Kommunikationsanlæg (samlet);;
2;6.64.2;Dataanlæg;Telephone, radio, tv and computer systems;;;bt.kom.sam;Kommunikationsanlæg (samlet);;
2;6.64.3;Informationsanlæg;Information and management systems;;;bt.kom.sam;Kommunikationsanlæg (samlet);;
2;6.64.4;Sikringsanlæg;Security and fire detection systems;;;bt.adg.sam;Adgangssystem(samlet);;
2;6.64.5;Bygningsautomationsanlæg;;;;bt.aut.sam;Automationssystem (samlet);;
1;6.66;Transportanlæg;Transport systems;;;bt.tra.sam;Transportsystem (samlet);;
2;6.66.1;Elevatorer;Lifts;;;bt.tra.sam;Transportsystem (samlet);;
2;6.66.2;Rullende trapper og fortove;;;;bt.tra.sam;Transportsystem (samlet);;
2;6.66.3;Transportbånd;Conveyor belts;;;bt.tra.sam;Transportsystem (samlet);;
2;6.66.4;Rørpostanlæg;;;;bt.tra.sam;Transportsystem (samlet);;
2;6.66.5;Kraner;;;;bt.tra.sam;Transportsystem (samlet);;
2;6.66.6;Vinduesvaskervogne;;;;bt.tra.sam;Transportsystem (samlet);;
1;6.67;Mekaniske anlæg, øvrige;Other mechanical services;;;;;;
1;6.68;El-anlæg, bygning, øvrige;;;;;;;
0;7.7;INVENTAR;;;;;;;
1;7.70;Inventar, terræn;Site fittings;;;ti;Inventar, terræn;Site fittings;
2;7.70.1;Tekniske inventarenheder, P-automater m.v.;;;;ti.tei;Teknisk inventar, P-automater m.v.;;
2;7.70.2;Tavler, skilte, skærme;;;;ti.tav;Tavler, skilte, skærme, riste, postkasser og cykelstativer;;
2;7.70.3;Opbev., affalds- og cykelstativer, postkasser;;;;ti.aff;Affaldscontainer, -beholder og -stativ;;
2;7.70.4;Bordmøbler;Furniture for eating or working;;;ti.bor;Borde og bænke;;
2;7.70.5;Siddemøbler;Furniture for sitting;;;ti.bor;Borde og bænke;;
1;7.71;Tekniske inventarenheder;;;;bi;Inventar;;
2;7.71.1;Automater for mad, drikke, sæbe m.m.;;;;bi.atm;Automater for mad og drikke;;
2;7.71.2;Løse lamper;Movable lamps;;;bi.lam;Lamper, løse;;
2;7.71.3;Brandslukningsudstyr;Fire fighting equipment;;;bi.bra;Brandslukker;;
2;7.71.4;Hårde hvidevarer;;;;bi.hvi;Hårde hvidevarer;;
1;7.72;Tavler, skilte og skærme;Panels, signs and displays;;;;;;
2;7.72.1;Skilte;Signs;;;bi.ski;Skilte;Signs;
2;7.72.2;Spejle;Mirrors;;;bi.bad;Badeværelse inventar;;
2;7.72.3;AV-udrustning, tavle, projektorskærme;;;;bi.avu;AV-udstyr;;
1;7.73;Opbevaringsmøbler;Storage furniture;;;bi.møb;Møbler;;
2;7.73.1;Hylder;Shelves;;;bi.møb;Møbler;;
2;7.73.2;Skabe og skuffemøbler;Cupboards and drawers;;;bi.møb;Møbler;;
2;7.73.3;Køkkeninventar;;;;bi.køk;Køkkeninventar;;
2;7.73.4;Badeværelsesinventar;;;;bi.bad;Badeværelse inventar;;
1;7.74;Bordmøbler;Furniture for eating or working;;;bi.møb;Møbler;;
2;7.74.1;Bordplader;Table tops, counter tops;;;bi.møb;Møbler;;
2;7.74.2;Arbejdsborde;Desktops, workbenches;;;bi.møb;Møbler;;
2;7.74.3;Borde til ophold og hvile;Tables for rest and relaxation;;;bi.møb;Møbler;;
1;7.75;Siddemøbler;Furniture for sitting;;;bi.møb;Møbler;;
2;7.75.1;Stole, bænke m.m. til arbejdsbrug;;;;bi.møb;Møbler;;
2;7.75.2;Stole, bænke, sofaer m.m. til ophold og hvile;Chairs, benches, couches, etc., for rest and relaxation;;;bi.møb;Møbler;;
1;7.76;Liggemøbler;Furniture for sleeping;;;bi.møb;Møbler;;
2;7.76.1;Sengemøbler til alm. boliger;Bed furniture for regular residential;;;bi.møb;Møbler;;
2;7.76.2;Sengemøbler til institutioner m.m.;Bed furniture for institutions, etc.;;;bi.møb;Møbler;;
1;7.77;Boligtekstiler og afskærmning;Textiles and shading;;;bi.tet;Tekstil;;
2;7.77.1;Gardiner og forhæng;Curtains;;;bi.tet;Tekstil;;
2;7.77.2;Gulvtæpper og måtter;Carpets and mats;;;bi.tet;Tekstil;;
2;7.77.3;Persienner;Blinds;;;bi.tet;Tekstil;;
2;7.77.4;Skærmvægge;Screens, partition walls;;;bi.skæ;Skærmvæg;;
1;7.78;Øvrigt inventar, bygning;;;;;;;
0;8.8;ØVRIGE BYGNINGSDELE;;;;;;;
1;8.80;Beplantning, terræn;;;;tb;Terræn beplantning;;
2;8.80.1;Græsplæner;;;;tb.græ;Græs;;
2;8.80.2;Blomsterbede;;;;tb.løg;Løgplanter;;
2;8.80.3;Hække;;;;tb.hæk;Hække;;
2;8.80.4;Lave bevoksninger;;;;tb.bus;Buske;;
2;8.80.5;Træbevoksninger;;;;tb.træ;Træer;;
