level;FromCode;FromName_da;FromName_en;ToCode;ToName_da;ToName_en
2;7.73.1;Hylder;;;Øvrige bygningsdele;
2;7.73.2;Skabe og skuffemøbler;;;Øvrige bygningsdele;
2;7.73.3;Køkkenskabe;;;Øvrige bygningsdele;
2;7.73.4;Toiletskabe;;;Øvrige bygningsdele;
1;7.74;Bordmøbler;;;Øvrige bygningsdele;
2;7.74.1;Bordplader;;;Øvrige bygningsdele;
2;7.74.2;Arbejdsborde;;;Øvrige bygningsdele;
2;7.74.3;Borde til ophold og hvile;;;Øvrige bygningsdele;
1;7.75;Siddemøbler;;;Øvrige bygningsdele;
2;7.75.1;Stole, bænke m.m . til arbejdsbrug;;;Øvrige bygningsdele;
2;7.75.2;Stole, bænke, sofaer m.m. til ophold og hvile;;;Øvrige bygningsdele;
1;7.76;Liggemøbler;;;Øvrige bygningsdele;
2;7.76.1;Sengemøbler til alm. boliger;;;Øvrige bygningsdele;
2;7.76.2;Sengemøbler til institutioner m.m.;;;Øvrige bygningsdele;
1;7.77;Boligtekstiler og afskærmning;;;Øvrige bygningsdele;
2;7.77.1;Gardiner og forhæng;;;Øvrige bygningsdele;
2;7.77.2;Gulvtæpper og måtter;;;Øvrige bygningsdele;
2;7.77.3;Persienner;;;Øvrige bygningsdele;
2;7.77.4;Skærmvægge;;;Øvrige bygningsdele;
1;7.78;Øvrigt inventar;;;Øvrige bygningsdele;
2;7.78.1;Øvrigt inventar;;;Øvrige bygningsdele;
2;7.78.2;Specialinventar;;;Øvrige bygningsdele;
;;;;;Vådrum;
