LCC-SfB Kode;LCC-SfB bygningsdelstavle;FvK-Kode;Forvaltnings Klassifikation
6.64.1;Kommunikationsanlæg;bt.kom,sam;Kommunikationsanlæg (samlet)
6.64.2;Dataanlæg;bt.kom.sam;Kommunikationsanlæg (samlet)
6.64.3;Informationsanlæg;bt.kom.sam;Kommunikationsanlæg (samlet)
6.64.4;Sikringsanlæg;bt.adg.sam;Adgangssystem(samlet)
6.64.5;Proceskontrolanlæg;bt.aut.sam;Automationssystem (samlet)
6.66;Transportanlæg;bt.tra.sam;Transportsystem (samlet)
6.66.1;Elevatorer;bt.tra.sam;Transportsystem (samlet)
6.66.2;Rullende trapper;bt.tra.sam;Transportsystem (samlet)
6.66.3;Transportbånd;bt.tra.sam;Transportsystem (samlet)
6.67;Mekaniske anlæg, øvrige;;
6.67.1;Mekaniske anlæg, øvrige;;
6.68;El-anlæg, øvrige;;
6.68.1;El-anlæg, øvrige;;
7;Inventar og udstyr;;
7.70;Inventar, terræn;ti;Inventar, terræn
7.70.1;Tekniske inventarenheder, p-automater m.m.;ti.tei;"Teknisk inventar, P-automater
m.v."
7.70.2;Tavler, skilte og skærme;ti.tav;"Tavler, skilte, skærme, riste,
postkasser og cykelstativer"
7.70.3;Opbevaring, affaldsstativer, cykelstativer, postkasser m.m.;ti.aff;"Affaldscontainer, -beholder og
-stativ"
7.70.4;Bordmøbler;ti.bor;Borde og bænke
7.70.5;Siddemøbler;ti.bor;Borde og bænke
7.71;Teknisk inventar;bi;Inventar
7.71.1;Automater for mad, drikke, sæbe m.m.;bi.atm;Automater for mad og drikke
7.71.2;Løse lamper;bi.lam;Lamper, løse
7.71.3;Brandslukningsudstyr;bi.bra;Brandslukker
7.72;Tavler, skilte og skærme;;
7.72.1;Skilte;bi.ski;Skilte
7.72.2;Spejle;bi.bad;Badeværelse inventar
7.72.3;AV-udrustning, tavler, projektorskærme;bi.avu;AV-udstyr
7.73;Opbevaringsmøbler;bi.møb;Møbler
7.73.1;Hylder;bi.møb;Møbler
7.73.2;Skabe og skuffemøbler;bi.møb;Møbler
7.73.3;Køkkenskabe;bi.køk;Køkkeninventar
7.73.4;Toiletskabe;bi.bad;Badeværelse inventar
7.74;Bordmøbler;bi.møb;Møbler
7.74.1;Bordplader;bi.møb;Møbler
7.74.2;Arbejdsborde;bi.møb;Møbler
7.74.3;Borde til ophold og hvile;bi.møb;Møbler
7.75;Siddemøbler;bi.møb;Møbler
7.75.1;Stole, bænke m.m . til arbejdsbrug;bi.møb;Møbler
7.75.2;Stole, bænke, sofaer m.m. til ophold og hvile;bi.møb;Møbler
7.76;Liggemøbler;bi.møb;Møbler
7.76.1;Sengemøbler til alm. boliger;bi.møb;Møbler
7.76.2;Sengemøbler til institutioner m.m.;bi.møb;Møbler
7.77;Boligtekstiler og afskærmning;bi.tet;Tekstil
7.77.1;Gardiner og forhæng;bi.tet;Tekstil
7.77.2;Gulvtæpper og måtter;bi.tet;Tekstil
7.77.3;Persienner;bi.tet;Tekstil
7.77.4;Skærmvægge;bi.skæ;Skærmvæg
7.78;Øvrigt inventar;;
7.78.1;Øvrigt inventar;;
7.78.2;Specialinventar;;
